Timestamp,What town/city do you live in? ,Do you currently interact with your city government? ,"If ""YES,"" how do you interact with your city government? Please select all that apply. ",Do you feel like you are kept in the loop on the decisions made by your local government?,How do you keep in the loop on decisions and policies made by your local government?,Do you feel that your local government's decisions are in your best interest? ,Why do you feel that way? 
9/8/2018 12:51:56,Other,No,,No,,Yes,
9/6/2018 18:19:05,Carborro,No,,Yes,Social Media,Yes,
9/6/2018 17:22:06,Carborro,No,,Yes,Newspaper,Yes,
9/6/2018 18:10:38,Carborro,Yes,Communicating w. Elected Officials,No,Social Media,No,I feel that it’s an echo chamber for a select few who’s ttend meetings and are able to pay attention diligently to many meetings
9/6/2018 18:21:39,Carborro,Yes,Town Council Meetings,No,Other,No,More developer land focused
9/6/2018 18:12:48,Carborro,No,,Yes,Email,Yes,I feel that the community is always able to give their input and a community the size of Carrboro can be vocal on their needs and desires which will inevitably be heard by the local government themselves
9/6/2018 18:06:31,Chapel Hill,No,,No,,No,
9/6/2018 17:34:16,Chapel Hill,No,,No,,Yes,I’m a white woman in chapel hill...I feel like I’m basically the type of person whose interests they care about.
9/6/2018 17:36:50,Chapel Hill,Yes,Email ,Yes,Email,Yes,
9/6/2018 17:39:56,Chapel Hill,Yes,Town Website,No,Newspaper,No,
9/6/2018 17:41:58,Chapel Hill,No,Newspaper,No,Newspaper,Yes,
9/6/2018 17:42:50,Chapel Hill,No,,No,Social Media,Yes,"The town in general gets more scrutiny now than ever before because of social media, so transparency is the reason I feel that way"
9/6/2018 17:50:35,Chapel Hill,Yes,Newspaper,No,Newspaper,No,Sometimes they help the people 
9/6/2018 17:52:50,Chapel Hill,No,Social Media,No,Social Media,Yes,
9/6/2018 17:53:21,Chapel Hill,No,,No,Social Media,Yes,
9/6/2018 18:18:22,Chapel Hill,Yes,Communicating w. Elected Officials,Yes,Town Website,No,Equity in Chapel Hill still has a long way to go.
9/6/2018 18:19:44,Chapel Hill,No,,No,,No,They keep tearing down things and building other things and taking other local businesses with corporations.
9/6/2018 18:36:34,Chapel Hill,No,,Yes,Social Media,Yes,They do
9/6/2018 18:48:31,Chapel Hill,No,,Yes,Social Media,Yes,Because of support
9/8/2018 13:58:34,Chapel Hill,No,,No,Town Website,,Busy and no one is providing the information to me
